,dat_dir,save_dir,save_dir.1,rr,rl,high_res,im_volseg,Note
0,/nearline/ahrens/limj2/nrs_store/state_modulation/neuromod/elavl3-GRABNE/NG/20220417/fish02/9dpf_elavl3-grabne-elavl3-jrgeco1b_NG-fmg-119trunc_fish02_exp04_20220417_214827/ephys,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20220417/fish02/9dpf_elavl3-grabne-elavl3-jrgeco1b_NG-fmg-119trunc_fish02_exp04_20220417_214827/im_CM0_dff/,NG_fmg,0.7792448959418327,0.6592180539410535,/nearline/ahrens/limj2/nrs_store/state_modulation/neuromod/elavl3-GRABNE/NG/20220417/fish02/9dpf_elavl3-grabne-elavl3-jrgeco1b_ref-stack_fish02_exp02_20220417_211727/processed/im_CM0_fixed_reference_sliced.h5,/nearline/ahrens/limj2/nrs_store/state_modulation/neuromod/elavl3-GRABNE/NG/20220417/fish02/9dpf_elavl3-grabne-elavl3-jrgeco1b_NG-fmg-119trunc_fish02_exp04_20220417_214827/im_CM0_dff_cis.zarr,
1,/nearline/ahrens/limj2/nrs_store/state_modulation/neuromod/elavl3-GRABNE/MG_vs_NGGU/20220130/fish02/6dpf_elavl-GRABNE_MG-vs-NGGU_fish02_exp04_20220130_234100/ephys,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20220130/fish02/6dpf_elavl-GRABNE_MG-vs-NGGU_fish02_exp04_20220130_234100/im_CM0_dff/,MG_vs_NGGU_fmg,0.6235609655759442,0.4047973814043132,/nearline/ahrens/limj2/nrs_store/state_modulation/neuromod/elavl3-GRABNE/MG_vs_NGGU/20220130/fish02/6dpf_elavl-GRABNE_ref-stack_fish02_exp03_20220130_233733/processed/im_CM0_fixed_reference_sliced.h5,/nearline/ahrens/limj2/nrs_store/state_modulation/neuromod/elavl3-GRABNE/MG_vs_NGGU/20220130/fish02/6dpf_elavl-GRABNE_MG-vs-NGGU_fish02_exp04_20220130_234100/im_CM0_dff_cis.zarr,
2,/nearline/ahrens/limj2/nrs_store/state_modulation/neuromod/gfap-GRABNE/MG_vs_NGGU/20210401/fish00/5dpf_gfap-GRABNE_MG-vs-NGGU-fmg_fish00_exp04_20210401_203234/ephys,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20210401/fish00/5dpf_gfap-GRABNE_MG-vs-NGGU-fmg_fish00_exp04_20210401_203234/im_CM0_dff/,MG_vs_NGGU_fmg,0.6656540511526038,0.40443863786785456,/nearline/ahrens/limj2/nrs_store/state_modulation/neuromod/gfap-GRABNE/MG_vs_NGGU/20210401/fish00/5dpf_gfap-GRABNE_ref-stack_fish00_exp05_20210401_231027/processed/im_CM0_fixed_reference_sliced.h5,/nearline/ahrens/limj2/nrs_store/state_modulation/neuromod/gfap-GRABNE/MG_vs_NGGU/20210401/fish00/5dpf_gfap-GRABNE_MG-vs-NGGU-fmg_fish00_exp04_20210401_203234/im_CM0_dff_cis.zarr,
3,/nearline/ahrens/limj2/nrs_store/state_modulation/neuromod/elavl3-GRABNE/NGGU/20220414/fish00/6dpf_elavl3-GRABNE-elavl3-jrgeco1b_NG-fmg_fish00_exp04_20220414_191344/ephys,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20220414/fish00/6dpf_elavl3-GRABNE-elavl3-jrgeco1b_NG-fmg_fish00_exp04_20220414_191344/im_CM0_dff/,NGGU_fmg,0.4068671514665382,0.4729778601622592,/nearline/ahrens/limj2/nrs_store/state_modulation/neuromod/elavl3-GRABNE/NGGU/20220414/fish00/6dpf_elavl3-GRABNE-elavl3-jrgeco1b_ref-stack_fish00_exp03_20220414_190857/processed/im_CM0_fixed_reference_sliced.h5,/nearline/ahrens/limj2/nrs_store/state_modulation/neuromod/elavl3-GRABNE/NGGU/20220414/fish00/6dpf_elavl3-GRABNE-elavl3-jrgeco1b_NG-fmg_fish00_exp04_20220414_191344/im_CM0_dff_cis.zarr,
4,/nearline/ahrens/limj2/nrs_store/state_modulation/neuromod/elavl3-GRABNE/MG_vs_NGGU/20210304/fish03/6dpf_GRABNE_MG-vs-NGGU-fmg_fish03_exp02_20210304_220752/ephys,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20210304/fish03/6dpf_GRABNE_MG-vs-NGGU-fmg_fish03_exp02_20210304_220752/im_CM0_dff/,MG_vs_NGGU_fmg,0.48755097596563535,0.6164806612111661,/nearline/ahrens/limj2/nrs_store/state_modulation/neuromod/elavl3-GRABNE/MG_vs_NGGU/20210304/fish03/6dpf_GRABNE_ref-stack_fish03_exp03_20210305_005117/processed//im_CM0_fixed_reference_sliced.h5,/nearline/ahrens/limj2/nrs_store/state_modulation/neuromod/elavl3-GRABNE/MG_vs_NGGU/20210304/fish03/6dpf_GRABNE_MG-vs-NGGU-fmg_fish03_exp02_20210304_220752/im_CM0_dff_cis.zarr,
5,/nearline/ahrens/limj2/nrs_store/state_modulation/neuromod/elavl3-GRABNE_elavl3-jrgeco/MG_vs_NGGU/20220213/fish03/6dpf_elavl3-GRABNE-elavl3-jrgeco1b_MG-vs-NGGU_fish03_exp04_20220213_233109/ephys,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20220213/fish03/6dpf_elavl3-GRABNE-elavl3-jrgeco1b_MG-vs-NGGU_fish03_exp04_20220213_233109/im_CM0_dff/,MG_vs_NGGU_fmg,0.2963433100033139,0.42321260536657695,/nearline/ahrens/limj2/nrs_store/state_modulation/neuromod/elavl3-GRABNE_elavl3-jrgeco/MG_vs_NGGU/20220213/fish03/6dpf_elavl3-GRABNE-elavl3-jrgeco1b_ref-stack_fish03_exp03_20220213_232737/processed/im_CM0_fixed_reference_sliced.h5,/nearline/ahrens/limj2/nrs_store/state_modulation/neuromod/elavl3-GRABNE_elavl3-jrgeco/MG_vs_NGGU/20220213/fish03/6dpf_elavl3-GRABNE-elavl3-jrgeco1b_MG-vs-NGGU_fish03_exp04_20220213_233109/im_CM0_dff_cis.zarr,"elavl3-GRABNE, incomplete brain, bad registration"
6,/nearline/ahrens/limj2/nrs_store/state_modulation/neuromod/elavl3-GRABNE_elavl3-jrgeco/NG_vs_NGGU/20220206/fish02/6dpf_elavl-GRABNE-elavl3-jrgeco_NG-vs-NGGU_fish02_exp04_20220206_231520/ephys,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20220206/fish02/6dpf_elavl-GRABNE-elavl3-jrgeco_NG-vs-NGGU_fish02_exp04_20220206_231520/im_CM1_voluseg/,NG_vs_NGGU_fmg,0.6506453184212193,0.6714882002264346,/nearline/ahrens/limj2/nrs_store/state_modulation/neuromod/elavl3-GRABNE_elavl3-jrgeco/NG_vs_NGGU/20220206/fish02/6dpf_elavl-GRABNE-elavl3-jrgeco_ref-stack_fish02_exp02_20220206_225943/processed/im_CM1_fixed_reference_sliced.h5,/nearline/ahrens/limj2/nrs_store/state_modulation/neuromod/elavl3-GRABNE_elavl3-jrgeco/NG_vs_NGGU/20220206/fish02/6dpf_elavl-GRABNE-elavl3-jrgeco_NG-vs-NGGU_fish02_exp04_20220206_231520/im_CM1_voluseg,"elavl3-jrgeco1b, incomplete brain, glial data, bad registration"
7,/nearline/ahrens/limj2/nrs_store/state_modulation/neuromod/elavl3-GRABNE_elavl3-jrgeco/NG_vs_NGGU/20220206/fish02/6dpf_elavl-GRABNE-elavl3-jrgeco_NG-vs-NGGU_fish02_exp04_20220206_231520/ephys,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20220206/fish02/6dpf_elavl-GRABNE-elavl3-jrgeco_NG-vs-NGGU_fish02_exp04_20220206_231520/im_CM0_dff/,NG_vs_NGGU_fmg,0.6506453184212193,0.6714882002264346,/nearline/ahrens/limj2/nrs_store/state_modulation/neuromod/elavl3-GRABNE_elavl3-jrgeco/NG_vs_NGGU/20220206/fish02/6dpf_elavl-GRABNE-elavl3-jrgeco_ref-stack_fish02_exp02_20220206_225943/processed/im_CM0_fixed_reference_sliced.h5,/nearline/ahrens/limj2/nrs_store/state_modulation/neuromod/elavl3-GRABNE_elavl3-jrgeco/NG_vs_NGGU/20220206/fish02/6dpf_elavl-GRABNE-elavl3-jrgeco_NG-vs-NGGU_fish02_exp04_20220206_231520/im_CM0_dff_cis.zarr,"elavl3-GRABNE, incomplete brain, unregistered"
8,/nearline/ahrens/limj2/nrs_store/state_modulation/neuromod/elavl3-GRABNE_elavl3-jrgeco/MG_vs_NGGU/20220213/fish03/6dpf_elavl3-GRABNE-elavl3-jrgeco1b_MG-vs-NGGU_fish03_exp04_20220213_233109/ephys,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20220213/fish03/6dpf_elavl3-GRABNE-elavl3-jrgeco1b_MG-vs-NGGU_fish03_exp04_20220213_233109/im_CM1_voluseg/,MG_vs_NGGU_fmg,0.2963433100033139,0.42321260536657695,/nearline/ahrens/limj2/nrs_store/state_modulation/neuromod/elavl3-GRABNE_elavl3-jrgeco/MG_vs_NGGU/20220213/fish03/6dpf_elavl3-GRABNE-elavl3-jrgeco1b_ref-stack_fish03_exp03_20220213_232737/processed/im_CM1_fixed_reference_sliced.h5,/nearline/ahrens/limj2/nrs_store/state_modulation/neuromod/elavl3-GRABNE_elavl3-jrgeco/MG_vs_NGGU/20220213/fish03/6dpf_elavl3-GRABNE-elavl3-jrgeco1b_MG-vs-NGGU_fish03_exp04_20220213_233109/im_CM1_voluseg,"elavl3-jrgeco1b; incomplete brain, unregistered"
9,/nearline/ahrens/limj2/nrs_store/state_modulation/neuromod/elavl3-GRABNE_elavl3-jrgeco/MG_vs_NGGU/20220213/fish03/6dpf_elavl3-GRABNE-elavl3-jrgeco1b_MG-vs-NGGU_fish03_exp04_20220213_233109/ephys,/nrs/ahrens/Ziqiang/Jing_Glia_project/Processed_data/20220213/fish03/6dpf_elavl3-GRABNE-elavl3-jrgeco1b_MG-vs-NGGU_fish03_exp04_20220213_233109/im_CM0/,MG_vs_NGGU,0.2963433100033139,0.42321260536657695,/nearline/ahrens/limj2/nrs_store/state_modulation/neuromod/elavl3-GRABNE_elavl3-jrgeco/MG_vs_NGGU/20220213/fish03/6dpf_elavl3-GRABNE-elavl3-jrgeco1b_ref-stack_fish03_exp03_20220213_232737/processed/im_CM0_fixed_reference_sliced.h5,/nearline/ahrens/limj2/nrs_store/state_modulation/neuromod/elavl3-GRABNE_elavl3-jrgeco/MG_vs_NGGU/20220213/fish03/6dpf_elavl3-GRABNE-elavl3-jrgeco1b_MG-vs-NGGU_fish03_exp04_20220213_233109/im_CM0_dff_cis.zarr,"Missing midbrain, registration done but not recommended"
